osm_id,osm_type,final_name,place,population,geoid
640585510,way,Crescent Ridge,neighbourhood,~250,
157597416,node,Dunn,town,9972,3718320
154165612,node,Rhodhiss,hamlet,997,3756240
153969125,node,Columbus,town,995,3713980
157565461,node,Scranton,village,995,
316979074,node,North Carolina,state,9943964,
154116386,node,Forest Acres,village,9906,
158656007,node,Washington,town,9875,3771220
7704882629,node,Waxhaw,town,9859,3771460
154158998,node,Laurens,town,9849,
157561321,node,Magnolia,village,981,3740640
154036555,node,Bowman,village,981,
158618349,node,Ellerbe,village,981,3720840
158614480,node,Wendell,village,9793,3771860
153999045,node,Old Fort,village,963,3748920
153893738,node,Fort Lawn,village,962,
153968117,node,Plum Branch,hamlet,96,
1848201,relation,Sevier County,county,95946,
158510981,node,Wilmington,city,95944,3774440
154181606,node,Chesnee,town,957,
157617622,node,Rockingham,town,9558,3757260
157580623,node,Morehead City,town,9556,3744320
154090504,node,Clermont,village,952,
158348883,node,Swepsonville,village,950,3766460
154379439,node,Luttrell,village,949,
158513656,node,Ocracoke,village,948,3748740
154031915,node,Weddington,town,9459,3771680
154210472,node,Waynesville,town,9432,3771500
153858081,node,Tellico Plains,village,943,
153847384,node,Cooleemee,village,940,3714460
158526203,node,Lumber Bridge,village,94,3739680
154010361,node,Alcoa,town,9316,
154190774,node,Friendsville,village,924,
154167873,node,Jonesville,village,922,
158267178,node,Gaston,village,917,3725560
158317446,node,Winton,village,915,3775080
158294782,node,Como,hamlet,91,3714060
158427643,node,Orrum,village,91,3749460
153889498,node,Toccoa,town,9069,
154311734,node,Conestee,village,904,
154206022,node,West Pelzer,village,902,
12345454,relation,Croft,suburb,9000,3712000
7890794335,node,Croft,suburb,9000,3712000
154012613,node,Belmont,town,8990,3704840
157604138,node,Kenansville,village,899,3735460
158349948,node,Gibsonville,town,8920,3725980
154160646,node,Bloomingdale,village,8918,
158279178,node,Centerville,village,89,3711560
158511018,node,Taylortown,village,886,3766980
302678861,node,Seneca,town,8850,
158425574,node,Rowland,village,885,3758140
158558611,node,Oriental,village,880,3749380
158383525,node,Clinton,town,8797,3713240
154085751,node,Mooresburg,village,877,
158326463,node,Greenville,city,87521,3728080
158252735,node,Aulander,village,874,3702580
158267341,node,Roxboro,town,8732,3758160
153898736,node,Helena,hamlet,870,
157619010,node,Vanceboro,village,869,3769680
158637189,node,Quinby,village,865,
158277820,node,Oxford,town,8628,3749800
153928733,node,Heath Springs,village,862,
153922313,node,Sans Souci,village,8581,
154000968,node,Lancaster,town,8575,
158484238,node,Middlesex,village,855,3742700
158507307,node,Dortches,village,855,3717520
158260882,node,Holden Beach,village,854,3731960
158629263,node,Aberdeen,village,8516,3700160
158383472,node,Walnut Creek,village,851,3770820
158325344,node,Siler City,town,8449,3761860
153913666,node,Kingstown,village,844,3735890
153964477,node,Johns Creek,town,84350,
10788743238,node,Black Mountain,town,8428,3706140
158260796,node,Candor,village,842,3710120
158619944,node,Hassell,hamlet,84,3730040
158530907,node,Butner,town,8397,3709360
158579332,node,Oak Island,village,8396,3748345
38063679,way,Garland,village,837,3725460
154110312,node,Hiawassee,village,836,
153861324,node,Arcadia Lakes,village,828,
154106547,node,Cleveland,village,827,3713000
153988076,node,Union,town,8241,
4228916005,node,Conover,town,8215,3714340
158468650,node,Hamer,hamlet,820,
154061815,node,Crawford,village,820,
157576075,node,Maysville,village,818,3742100
157585398,node,Columbia,town,817,3713940
153864816,node,Rockford,village,816,
158442250,node,Star,village,814,3764580
29638288,node,Norris,village,813,
154172056,node,Maggie Valley,village,810,3740600
157590340,node,Spring Lake,town,8079,3764180
154014114,node,Jefferson City,town,8028,
157607979,node,Speed,hamlet,80,3763720
154161632,node,Fletcher,town,7987,3723760
158336417,node,Calabash,village,797,3709540
158537588,node,Ridgeway,village,793,
158475515,node,Lake View,village,789,
158385216,node,Wagram,village,784,3770480
157597453,node,Faison,village,784,3722560
157591795,node,Woodland,village,782,3775340
154061305,node,Marshall,town,777,3741580
157554293,node,Vass,village,775,3769840
154100234,node,Eastover,village,774,
154165538,node,Lenoir City,town,7703,
158532987,node,Peletier,village,769,3751040
154366557,node,Cullowhee,village,7682,3715880
154185961,node,Mountain City,village,764,
153873746,node,Clinton,town,7633,
7940561274,node,Steele Creek,suburb,76301,3712000
154010812,node,Auburn,town,7622,
153949067,node,Red Cross,village,762,3755460
1848164,relation,Anderson County,county,75749,
158524977,node,Half Moon,village,7543,3728900
153862975,node,Dahlonega,town,7537,
154074402,node,Charlotte,city,751087,3712000
158273967,node,Warrenton,village,751,3771100
154335038,node,Peachtree Station,neighbourhood,7500,
158567444,node,Mamers,hamlet,750,3740860
16122105,relation,Oneal Farms,neighbourhood,75,
153910922,node,Flowery Branch,village,7477,
154060672,node,Hartsville,town,7473,
153924230,node,York,town,7465,
158264164,node,Duck,village,746,3718060
154389111,node,Startex,village,745,
157625711,node,Clio,village,744,
154059138,node,Lugoff,town,7434,
154371247,node,LaFollette,town,7430,
158657403,node,Summerfield,village,7423,3765580
154120487,node,Rock Hill,city,74102,
157557886,node,North Topsail Beach,village,734,3747845
157632625,node,Kill Devil Hills,town,7333,3735720
154152265,node,North High Shoals,village,733,
157610325,node,Alliance,village,733,3701000
154104511,node,Forest City,town,7324,3724080
9253946334,node,Tellico Village,village,7311,
158513500,node,Chocowinity,village,730,3712580
158355222,node,Bear Grass,hamlet,73,3704180
154149283,node,Welcome,village,7298,
158463651,node,Grantsboro,village,729,3727520
154397811,node,Asheville,city,72789,3702140
157604101,node,Jacksonville,city,72723,3734200
153848609,node,Turbeville,village,721,
154039969,node,Robbinsville,town,721,3757020
158485490,node,Raynham,hamlet,72,3755340
8633713304,node,Bulls Gap,village,717,
153965302,node,Camden,town,7168,
158581818,node,Whitsett,village,714,3773760
154004188,node,McBee,village,714,
158364612,node,Elon,town,7121,3721095
153901280,node,Johnson City,city,71046,
158477358,node,Stantonsburg,village,710,3764560
30199441,node,Greenville,city,70720,
7402919289,node,Ballantyne,suburb,70582,3712000
153887203,node,Blairsville,village,705,
153841825,node,Faith,village,704,3722600
158652310,node,Black Creek,village,703,3706080
158573285,node,Northwest,village,703,3747860
5257913151,node,Greyston Neighborhood,neighbourhood,702,3771860
157545999,node,Hampstead,town,7016,3729180
158473227,node,Trinity,village,7006,3768400
154155391,node,Unionville,village,6996,3769260
154167483,node,Gastonia,city,69904,3725580
154282644,node,Montreat,village,698,3744100
154373829,node,Jefferson,village,698,
158424861,node,Society Hill,village,697,
154098507,node,Bethlehem,village,696,
158558173,node,Marion,town,6959,
158472151,node,Conway,village,691,3714400
195469885,node,Zebulon,village,6903,3776220
154101421,node,Grover,village,690,3728400
153846968,node,Chapin,village,689,
154083096,node,Dacula,town,6882,
153947741,node,Commerce,village,6881,
157591379,node,Dobbins Heights,village,687,3717325
154042128,node,Newport,town,6865,
1848178,relation,Greene County,county,68580,
158395688,node,Bailey,village,678,3703020
158545126,node,Selma,town,6779,3760320
158643129,node,Coward,village,671,
154372634,node,Mount Airy,village,671,
154007720,node,East Bend,village,671,3719320
153882556,node,Clover,town,6671,
154331058,node,Newland,town,667,3746740
154150934,node,Brevard,town,6654,3707720
158507472,node,Jackson,village,662,3734000
153884298,node,Rest Haven,hamlet,66,
157576363,node,Sedalia,village,659,3760180
154183781,node,Alpharetta,city,65818,
153917527,node,Green Mountain,hamlet,658,
154113238,node,Church Hill,town,6552,
158624021,node,Darlington,town,6548,
158446526,node,Seaboard,village,654,3759980
154079513,node,Carnesville,village,651,
158463606,node,Stedman,village,651,3764840
158470564,node,Knightdale,town,6479,3736080
153863279,node,Gilbert,village,643,
